"Timestamp","1. Where do you live during the Pandemic?","2. Currently, are you living with?","3. What is your age (choose the best match range)?","4. Your Gender?","4. Your Profession?","5. What is your current salary range? (monthly)","6. Does the Covid-19 pandemic affect your financial condition?","7. How frequently you order food online?","8. Did you order food online during the Covid-19 pandemic?","9. Do you feel safe using OFD (Online Food Ordering) during the Covid-19  pandemic?","10. If yes or no, please share the reason?","11. Do you think the restaurant food quality is maintained when you order online during the Covid-19 pandemic?","12. Do you prefer third-party apps (For example FoodPanda / PathaoFood ) more than a restaurant's website to order food online?","13. Which apps did you use so far for online food ordering?","14. Your preferred payment method for OFD (Online Food Delivery)?","15. Do you think the restaurant rating system in OFD help to order good quality food?  ","16. What do you think OFD (Online Food Delivery) should improve during a pandemic?","17. Do you feel OFD ensures timeliness?","18. Do you think OFD provides food less cost then restaurants?","19. When is the best time to use OFD (Online Food Delivery) for you?","20. Did you face any issue describing your address to the delivery man while using (Online Food Delivery) during the pandemic?","21. What encourages you most to use OFD (Online Food Delivery) during a pandemic? ","22. What safety measure you notice OFD providers take to ensure safety for the Covid-19  pandemic?","23. Did you notice any difference in OFD (Online Food Delivery) before and after the pandemic?","24. If yes what's the difference?","25. Did you face any issues using OFD  during the pandemic?","26. Did OFD (Online Food Delivery) owners take any steps to solve the issues you have faced?","27. Any Comments?"
"2020/12/17 7:30:31 PM GMT+6","Urban area","Alone","26-35 Years","Female","","40,000 to 60,000 BDT","Partially","Occationally","Once / Twice","Yes","Avoid possibility of getting affected by viruses.","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats","Credit card","Yes","","Yes","Yes","Night","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene","Yes","promote cashless delivery","Delivary  man cant get the location","responded lately",""
"2020/12/17 7:31:18 PM GMT+6","Sub Urban area","Alone","36-50 Years","Male","Engineer","60,000 to 80,000 BDT","No","Occationally","Once / Twice","Yes","Because they ensure safety","Yes","Yes","Pathao Food","others","Yes","their delivery time","Yes","Yes","Afternoon","Yes","Dine in insecurity during pendemic","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","No","promote cashless delivery","damage food","I didn't face problem","Their safety issue should be develope"
"2020/12/17 7:33:20 PM GMT+6","Rural area","Family","19-25 Years","Female","Student","No income","Partially","Occationally","Once / Twice","Not always","Because we should not go out from home","Yes","Yes","Foodpanda","Cash on delivery","Maybe","Maybe","Yes","Yes","Evening","No","Safety issue","Contact less delivery","No","","No safety measures","I didn't face problem","No"
"2020/12/17 7:33:31 PM GMT+6","Sub Urban area","Family","26-35 Years","Female","House wife","No income","No","Monthly","At least 5 times","Not always","because sometimes they are not safe","No","Sometimes","Uber Eats","MFS (bkash /Nogodh )","No","","No","No","Night","No","Enthusiasm for food","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add sanitation option","Delivery man misbehave","I didn't face problem","OFD is good"
"2020/12/17 7:37:03 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","Business man","Above 80,000 BDT","Yes","Daily","More than 10 time","Yes","It is safe than local food","Yes","Yes","Specific restaurants own website / App / portal (Ex. Pizza Hut)","Cash on delivery","Yes","The safety of the food they deliver","Yes","Yes","Afternoon","Yes","Enthusiasm for food","Cashless payment system","Yes","sanitation for delivery man","Delivery man misbehave","Did not response","Their delivery man should behave nicely"
"2020/12/17 7:40:32 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","","No income","Partially","Never","never","Not always","Delivery person may be affected","Not Always","Sometimes","Pathao Food;Uber Eats","Cash on delivery","Maybe","","Not Always","No","Night","Yes","Promo codes;Free Delivery;Discount","Cashless payment system","Yes","promote cashless delivery","No safety measures;Delivary  man cant get the location","responded lately",""
"2020/12/17 7:41:28 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","Student","No income","Yes","Occationally","Once / Twice","Not always","ðŸ˜’","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","Maybe","Not Always","Yes","Evening","Yes","Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","promote cashless delivery;sanitation for delivery man","No safety measures","responded lately","No"
"2020/12/17 7:42:04 PM GMT+6","Sub Urban area","Alone","26-35 Years","Male","Lawyer","40,000 to 60,000 BDT","No","Never","never","No","Because they don't ensure safety","No","No","Specific restaurants own website / App / portal (Ex. Pizza Hut)","others","No","They should ensure the safety of the food","No","No","Night","No","Enthusiasm for food","Contact less delivery","No","Add contactless delivery","Order cancellation withput reason","Did not response","Poor Condition"
"2020/12/17 7:42:35 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","student ","No income","Partially","Occationally","never","Not always","quantity nad qulity issue","Not Always","Sometimes","Foodpanda","Cash on delivery","Maybe","yes","No","No","Afternoon","Yes","Free Delivery;Discount","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","Item missing;Delivary  man cant get the location","I didn't face problem",""
"2020/12/17 7:43:01 PM GMT+6","Urban area","Family","26-35 Years","Female","à¦—à§ƒà¦¹à¦¿à¦£à§€ ","No income","Yes","Weekly","Once / Twice","Yes","à¦•à¦¾à¦°à¦¨ à¦¬à¦¾à¦¸à¦¾ à¦¥à§‡à¦•à§‡ à¦¬à§‡à¦° à¦¹à¦¤à§‡ à¦¹à§Ÿ à¦¨à¦¾","Yes","Yes","Foodpanda","MFS (bkash /Nogodh )","Yes","","No","Yes","Evening","No","Promo codes","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","","responded immidiately",""
"2020/12/17 7:43:10 PM GMT+6","Urban area","Alone","26-35 Years","Male","","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","Safety from covid 19","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","Not Always","No","Night","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","bad packaging;Delivary  man cant get the location","Did not response",""
"2020/12/17 7:46:20 PM GMT+6","Urban area","Family","26-35 Years","Female","Waitress","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","Because it is better than street food","Not Always","Yes","Restaurants Facebook Page","Cash on delivery","Yes","They should decrease the food prize","Yes","Yes","Night","Yes","Save time and effort","Cashless payment system","Yes","Add sanitation option","Wrong food delivered","responded lately","They should deliver more swiftly"
"2020/12/17 7:48:45 PM GMT+6","Urban area","Family","19-25 Years","Female","Student ","No income","Yes","Occationally","Once / Twice","Not always","For the pandemic situation i don't feel safe usingofd ","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","Yes","Not Always","Yes","Evening","Yes","Discount","Their advertisement of hygiene","No","","","I didn't face problem","No"
"2020/12/17 7:51:23 PM GMT+6","Sub Urban area","Family","36-50 Years","Female","Nurse","less than 20,000 BDT","No","Daily","More than 10 time","Yes","they deliver on time","Yes","Yes","Shohoz Food","Cash on delivery","Yes","Their Discount","Yes","Yes","Afternoon","Yes","Save time and effort","Cashless payment system","Yes","Add sanitation option","Delivary  man cant get the location","responded immidiately","OFD is Good"
"2020/12/17 7:55:23 PM GMT+6","Urban area","Alone","36-50 Years","Male","Call center agent","20,000 to 40,000 BDT","No","Daily","More than 10 time","Yes","They Deliver quality food","Yes","Yes","Uber Eats","MFS (bkash /Nogodh )","Maybe","They should increase the safety issue","Yes","Yes","Evening","Yes","Safety issue","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","promote cashless delivery","Wrong food delivered","Did not response","They should increase the safety issue"
"2020/12/17 7:58:11 PM GMT+6","Urban area","Family","26-35 Years","Male","Job","20,000 to 40,000 BDT","Yes","Occationally","never","Not always","No","Yes","Yes","efood","others","Yes","No","Yes","Yes","Evening","No","Save time and effort","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","No","I didn't face problem","Nice points find out to be servey. Best of luck."
"2020/12/17 7:58:12 PM GMT+6","Sub Urban area","Alone","26-35 Years","Male","teacher","20,000 to 40,000 BDT","Partially","Weekly","At least 5 times","Yes","Because they deliver quality food","Yes","Yes","Foodpanda","Credit card","Yes","Their packaging","Yes","Yes","Evening","Yes","Promo codes","Contact less delivery","Yes","Add contactless delivery","No safety measures","Did not response","Their Delivery is great "
"2020/12/17 7:58:23 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","","No income","Partially","Occationally","Once / Twice","Yes","Social distancing","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Yes","","Not Always","No","Night","No","Promo codes;Free Delivery;Discount;Enthusiasm for food","Their advertisement of hygiene","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 7:59:57 PM GMT+6","Urban area","Family","12-18 Years","Female","Student","No income","No","Monthly","More than 10 time","Yes","The answer is ""yes"" because online food delivery save time","Yes","Yes","Foodpanda","Cash on delivery","Yes","Yes","","Yes","Evening","Yes","Promo codes;Free Delivery;Discount","Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","promote cashless delivery;sanitation for delivery man","Delivary  man cant get the location","Did not response",""
"2020/12/17 8:13:09 PM GMT+6","Urban area","Alone","26-35 Years","Male","","40,000 to 60,000 BDT","Partially","Occationally","Once / Twice","Not always","I am not sure.","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","No","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 8:14:41 PM GMT+6","Urban area","Family","19-25 Years","Female","Student","No income","No","Occationally","More than 10 time","Yes","No problem for covid-19","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","No need","Yes","No","Morning","No","Enthusiasm for food","Nothing","No","","No safety measures","I didn't face problem","No problem"
"2020/12/17 8:15:41 PM GMT+6","Urban area","Alone","36-50 Years","Male","","40,000 to 60,000 BDT","Yes","Occationally","At least 5 times","Yes","Don't have to go out in the crowd","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 8:19:30 PM GMT+6","Urban area","Family","12-18 Years","Male","Student","No income","Yes","Weekly","Once / Twice","Not always","Because I think if I order online food during pandemic then there is a lot of chance that coronavirus will affect means my family.","Not Always","Sometimes","Foodpanda","Cash on delivery","Yes","They should insure the cleaning of restaurants.","Yes","Yes","Evening","Yes","Save time and effort","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","Delivary  man cant get the location","I didn't face problem","Please improve online food delivery and help us to get a safe and healthy society ðŸ˜Š"
"2020/12/17 8:21:11 PM GMT+6","Urban area","Family","36-50 Years","Female","","No income","Partially","Occationally","Once / Twice","Yes","Safe distance","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","MFS (bkash /Nogodh )","Yes","","Yes","Yes","Night","No","Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 8:32:28 PM GMT+6","Sub Urban area","Family","26-35 Years","Female","","less than 20,000 BDT","Partially","Occationally","Once / Twice","Yes","Social distancing","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","No","Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","","I didn't face problem",""
"2020/12/17 8:33:28 PM GMT+6","Rural area","Family","26-35 Years","Female","no job ","No income","Yes","Never","never","No","à¦•à§‹à¦­à¦¿à¦¡ à¦›à§‹à¦à§Ÿà¦¾à¦šà§‡ à¦°à§‹à¦—à¥¤ à¦†à¦®à¦¾à¦° à¦¹à¦²à§‡ à¦˜à¦°à§‡à¦° à¦¸à¦¬à¦¾à¦° à¦¹à¦¤à§‡ à¦ªà¦¾à¦°à§‡à¥¤ à¦à¦¬à¦‚ à¦à¦Ÿà¦¿ à¦ªà§à¦°à¦¾à¦£à¦˜à¦¾à¦¤à¦¿ à¦¤à¦¾à¦‡à¥¤","Not Always","Yes","Foodpanda","MFS (bkash /Nogodh )","Yes","","Not Always","","Evening","Yes","","Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","No","","","I didn't face problem",""
"2020/12/17 8:34:46 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","","No income","Yes","Never","never","Not always","Healty Issue","Not Always","Yes","Foodpanda;Shohoz Food;Pathao Food","Cash on delivery","Maybe","","Not Always","No","Night","Yes","","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","No","","","responded lately",""
"2020/12/17 8:40:48 PM GMT+6","Urban area","Family","12-18 Years","Male","Student ","No income","Partially","Weekly","never","Not always","Not always, it can spread even if we maintain precautions.","Not Always","Yes","Shohoz Food;Pathao Food","Cash on delivery","Maybe","Pricing ","Yes","Yes","Evening","Yes","Promo codes;Free Delivery;Discount;Save time and effort","Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add sanitation option","Delivary  man cant get the location","Did not response",""
"2020/12/17 8:44:22 PM GMT+6","Urban area","Alone","19-25 Years","Male","","less than 20,000 BDT","Partially","Occationally","Once / Twice","Yes","Less physical interaction with people","Yes","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","","I didn't face problem",""
"2020/12/17 8:46:03 PM GMT+6","Rural area","Family","Over 51 years","Male","","20,000 to 40,000 BDT","Yes","Never","never","Not always","May be unhygienic","Not Always","Sometimes","Restaurants Facebook Page","Cash on delivery","","","","","Evening","No","","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","","","","responded immidiately",""
"2020/12/17 8:52:26 PM GMT+6","Urban area","Alone","26-35 Years","Male","","40,000 to 60,000 BDT","Partially","Occationally","Once / Twice","Not always","All the OFD donot provide same safety services","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","Order cancellation withput reason;Delivary  man cant get the location","responded lately",""
"2020/12/17 8:58:09 PM GMT+6","Urban area","Alone","26-35 Years","Male","","40,000 to 60,000 BDT","Partially","Occationally","Once / Twice","Yes","Avoid crowd","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","excessive delay in delivary;Delivary  man cant get the location","responded immidiately",""
"2020/12/17 9:00:54 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","","less than 20,000 BDT","Partially","Occationally","Once / Twice","Yes","Social distancing","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","excessive delay in delivary;Delivary  man cant get the location","responded lately",""
"2020/12/17 9:03:57 PM GMT+6","Urban area","Alone","26-35 Years","Female","","20,000 to 40,000 BDT","Partially","Occationally","Once / Twice","Not always","Not every OFD can operate with equal efficiency","Not Always","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","","I didn't face problem",""
"2020/12/17 9:04:44 PM GMT+6","Urban area","Family","26-35 Years","Male","Govt. Service","20,000 to 40,000 BDT","Yes","Weekly","More than 10 time","Yes","Full safety ","Yes","Yes","Foodpanda","Cash on delivery","Yes","Yes","Yes","Yes","Evening","No","Safety issue","Contact less delivery","Yes","Add contactless delivery","Item missing","responded immidiately","Online food delivery save time"
"2020/12/17 9:06:16 PM GMT+6","Urban area","Family","36-50 Years","Male","","Above 80,000 BDT","Partially","Occationally","Once / Twice","Yes","Safe way compared to going to a restaurant during pandemic","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Credit card","Maybe","","Not Always","Yes","Night","No","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","","I didn't face problem",""
"2020/12/17 9:06:27 PM GMT+6","Urban area","Family","19-25 Years","Male","Student ","less than 20,000 BDT","Yes","Weekly","More than 10 time","Yes","...","No","Yes","Foodpanda","Cash on delivery","No","Yes","No","No","Night","Yes","Promo codes","Contact less delivery","Yes","Add sanitation option","No safety measures","Did not response",""
"2020/12/17 9:37:48 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","Businesswoman","less than 20,000 BDT","Partially","Occationally","More than 10 time","Yes","Yes","No","Yes","Foodpanda","Cash on delivery","Yes","Yes","Yes","No","Evening","No","Safety issue","Contact less delivery;Their advertisement of hygiene","Yes","sanitation for delivery man","bad packaging","Did not response","No"
"2020/12/17 9:42:46 PM GMT+6","Urban area","Family","12-18 Years","Male","none. I'm just a student.","No income","Yes","Never","never","No","i don't need this ","Not Always","Sometimes","i don't Oder any food from any side ","others","Maybe","i don't know. I'm not sure. and i never thought about that.  ","Not Always","No","Evening","No","Free Delivery","i don't know","No","promote cashless delivery","i said i never use this kind of apps.","I didn't face problem","t's just a useless things. no benefits from there. "
"2020/12/17 9:53:20 PM GMT+6","Rural area","Family","19-25 Years","Male","Student ","No income","Yes","Never","never","Not always","Due to risk of attacking covid-19","No","Yes","Foodpanda","Cash on delivery","Yes","Yes","Yes","Yes","Night","No","Free Delivery","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add sanitation option","No safety measures","I didn't face problem","No"
"2020/12/17 10:18:56 PM GMT+6","Urban area","Alone","26-35 Years","Female","","40,000 to 60,000 BDT","Partially","Daily","More than 10 time","Yes","Because ,No option","No","Yes","Foodpanda;Shohoz Food;Pathao Food;Restaurants Facebook Page","Cash on delivery","","","","","Night","Yes","","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","","","","responded immidiately",""
"2020/12/17 10:40:02 PM GMT+6","Rural area","Family","36-50 Years","Male","Business","60,000 to 80,000 BDT","Yes","Occationally","never","Yes","Because of their healthy advertising ","Yes","No","Restaurants Facebook Page","Cash on delivery","","","","","Afternoon","No","","Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Restaurants with Hygiene tag(where OFD ensures food  safety)","","","","I didn't face problem",""
"2020/12/17 10:45:27 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","Teacher","20,000 to 40,000 BDT","Partially","Occationally","Once / Twice","Not always","I don't see how they make foods.","Not Always","Sometimes","Restaurants Facebook Page","Cash on delivery","Maybe","","","","Evening","No","","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","","","","I didn't face problem",""
"2020/12/17 10:49:58 PM GMT+6","Urban area","Family","Over 51 years","Male","Professor","20,000 to 40,000 BDT","Yes","Never","never","Not always","Actually not safe always","Not Always","Sometimes","Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","","Night","No","Free Delivery","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add sanitation option","","I didn't face problem","No"
"2020/12/17 11:13:48 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","Student ","No income","Yes","Never","never","Yes","Yes","Yes","Yes","Foodpanda","Cash on delivery","Yes","Good","Yes","Yes","Evening","Yes","Safety issue","Contact less delivery","Yes","Add sanitation option","excessive delay in delivary","responded immidiately","Good"
"2020/12/17 11:14:18 PM GMT+6","Sub Urban area","Family","36-50 Years","Female","","No income","No","Monthly","never","Not always","Yes","Not Always","No","Cake point","Cash on delivery","Yes","No","Not Always","Yes","Afternoon","No","Discount","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","Delivary  man cant get the location","responded immidiately","No"
"2020/12/17 11:54:52 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","Student","No income","Yes","Never","never","Yes","Because going outside is probably more dangerous than ordering food online.","Yes","Yes","Shohoz Food","Cash on delivery","Yes","","Yes","Yes","Evening","Yes","Promo codes;Discount;Save time and effort;Enthusiasm for food","Their advertisement of hygiene","Yes","Add sanitation option;sanitation for delivery man","Order cancellation withput reason","Did not response",""
"2020/12/18 11:51:55 AM GMT+6","Urban area","Family","26-35 Years","Female","","No income","No","Weekly","At least 5 times","Not always","For Safety concern ","Not Always","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Restaurants Facebook Page","Cash on delivery","","","","","Night","No","Promo codes;Free Delivery;Discount","Their advertisement of hygiene","","sanitation for delivery man","","I didn't face problem",""
"2020/12/18 1:43:40 PM GMT+6","Sub Urban area","Family","36-50 Years","Male","","less than 20,000 BDT","Yes","Occationally","Once / Twice","Not always","Safety Issue","Not Always","Yes","Restaurants Facebook Page","Cash on delivery","","","","","Morning","No","Safety issue","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","","","","responded lately",""
"2020/12/18 4:03:05 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","student","No income","Yes","Occationally","never","No","thought that ordering food during corona situation isn't safe","Not Always","Yes","Foodpanda;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Afternoon","No","Free Delivery","Cashless payment system","Yes","sanitation for delivery man","No safety measures","I didn't face problem","no"
"2020/12/18 5:08:16 PM GMT+6","Rural area","Family","12-18 Years","Female","student","No income","No","Occationally","Once / Twice","Not always","i dont like packing everytime","Yes","Sometimes","Foodpanda","Cash on delivery","Maybe","packing","Not Always","Yes","Evening","No","Discount","Their advertisement of hygiene","Yes","sanitation for delivery man","No safety measures","I didn't face problem","no"